,artist,num_songs_on_billboard,num_albums
464,Meek Mill,2,14
465,Kool Moe Dee,1,3
466,Lee Brice,4,5
467,Post Malone,21,11
468,Iggy Azalea,4,6
469,Taylor Swift,25,30
470,JNR CHOI,1,1
471,Tiara Thomas Or Rihanna,1,2
472,beabadoobee,1,8
473,Kygo x Selena Gomez,1,4
474,Julia Michaels,2,55
475,Lil Mosey,1,3
476,Young Dolph,1,31
477,Cole Swindell / Lainey Wilson,1,4
478,John Legend,3,18
479,Sons,1,0
480,Swedish House Mafia,1,3
481,Lil Jon,1,5
482,Wiz Khalifa,4,35
483,Rozes,1,1
484,dazy,1,4
485,Lewis Capaldi,3,4
486,THE SCOTTS,1,0
487,Niall Horan,1,8
488,Sara Bareilles,2,14
489,Afrojack,1,5
490,Kevin Gates,2,18
491,Machine Gun Kelly x Camila Cabello,1,1
492,A Great Big World,1,5
493,Jhene Aiko,2,8
494,Andy Grammer,1,6
495,MO,3,6
496,Mary Lambert,1,5
497,Fall Out Boy,3,13
498,Ryan Hurd,1,1
499,Randy Houser,1,7
500,Beyonce,10,14
501,Migos,10,14
502,Zacari,1,2
503,Mr. Probz,1,1
504,Flume,1,8
505,Khalid,13,6
506,GloRilla,3,5
507,Murda Beatz,1,3
508,Yung Bleu,1,14
509,50 Cent,1,7
510,Fifty Fifty,1,2
511,Martin Garrix,1,1
512,Karol G,2,5
513,Skrillex,1,4
514,R. City,1,2
515,Marshmello,7,5
516,NLE Choppa,2,14
517,Eminem,4,20
518,Naughty Boy,1,2
519,42 Dugg,1,7
520,Hayley Williams,1,2
521,Ray Dalton,1,1
522,Anne-Marie,2,4
523,Ayo,1,1
524,Ava Max,2,2
525,Gus Dapperton,1,4
526,Wale,1,13
527,Miranda Lambert,3,13
528,Natalie La Rose,1,1
529,AWOLNATION,1,9
530,Victoria Monet,1,7
531,Calvin Harris,8,7
532,Daft Punk,4,15
533,Chris Brown,15,18
534,Florida Georgia Line,10,9
535,Old Dominion,2,7
536,AJR,1,7
537,Ryan Lewis,5,3
538,Bebe Rexha,3,3
539,Vance Joy,1,7
540,Grey,3,4
541,NF,1,6
542,Lil Dicky,1,2
543,Lil Nas X,4,2
544,Major Lazer,3,17
545,Mike WiLL Made-It,1,10
546,George Ezra,1,3
547,DJ Snake,8,3
548,Lil Uzi Vert,4,11
549,Polo G,3,6
550,Wham!,2,3
551,James Blake,1,11
552,Bad Bunny,16,8
553,Doechii,1,3
554,PnB Rock,1,9
555,Zach Bryan,5,7
556,Moneybagg Yo,3,23
557,24kGoldn,2,4
558,Kid Cudi,1,13
559,Nicki Minaj,25,18
560,Young Nudy,1,12
561,Chappell Roan,2,1
562,Passenger,2,18
563,Of Monsters And Men,1,7
564,Tate McRae,4,2
565,Bryson Tiller,4,7
566,Emilee,1,0
567,THE ANXIETY: WILLOW,1,1
568,Luke Combs,17,7
569,Stephanie Beatriz,1,0
570,Chase Rice,2,10
571,Shakira,2,17
572,Marian Hill,1,5
573,Disclosure,1,10
574,Rachel Platten,1,4
575,Jay Z,2,23
576,Lana Del Rey vs. Cedric Gervais,1,0
577,CJ,1,2
578,Yng Lvcas x Peso Pluma,1,3
579,Lauv,1,6
580,Tucker Wetmore,1,1
581,Liam Payne,1,1
582,Omarion,1,9
583,Ellie Goulding,5,10
584,A$AP Ferg,1,6
585,Maddie,1,5
